label,token,occurrence
__label__meta_minus_m,nie,9296
__label__meta_minus_m,ale,1768
__label__meta_minus_m,bardzo,1418
__label__meta_minus_m,hotelu,1194
__label__meta_minus_m,hotel,926
__label__meta_minus_m,doktor,925
__label__meta_minus_m,niestety,795
__label__meta_minus_m,polecam,781
__label__meta_minus_m,pokoju,687
__label__meta_minus_m,brak,631
__label__meta_minus_m,bez,538
__label__meta_minus_m,nic,532
__label__meta_minus_m,lekarza,522
__label__meta_minus_m,pokój,519
__label__meta_minus_m,obsługa,435
__label__meta_minus_m,dr,427
__label__meta_minus_m,wszystko,416
__label__meta_minus_m,miała,410
__label__meta_minus_m,lekarz,399
__label__meta_minus_m,pokoje,392
__label__meta_minus_m,chyba,379
__label__meta_minus_m,jednak,374
__label__meta_minus_m,recepcji,369
__label__meta_minus_m,ok,366
__label__meta_minus_m,jedzenie,355
__label__meta_minus_m,wizyty,353
__label__meta_minus_m,raz,340
__label__meta_minus_m,odradzam,315
__label__meta_minus_m,badania,289
__label__meta_minus_m,ani,286
__label__meta_minus_m,wizyta,282
__label__meta_minus_m,innego,279
__label__meta_minus_m,dzieci,268
__label__meta_minus_m,dziecko,263
__label__meta_minus_m,wiem,261
__label__meta_minus_m,mimo,260
__label__meta_minus_m,go,259
__label__meta_minus_m,dni,255
__label__meta_minus_m,restauracji,253
__label__meta_minus_m,nigdy,252
__label__meta_minus_m,więcej,250
__label__meta_minus_m,okazało,239
__label__meta_minus_m,wizycie,237
__label__meta_minus_m,czas,224
__label__meta_minus_m,dzień,217
__label__meta_minus_m,mało,216
__label__meta_minus_m,zdecydowanie,214
__label__meta_minus_m,dużo,210
__label__meta_minus_m,wizytę,209
__label__meta_minus_m,wrażenie,207
__label__meta_minus_m,wiele,206
__label__meta_minus_m,minut,199
__label__meta_minus_m,basen,198
__label__meta_minus_m,poza,197
__label__meta_minus_m,śniadanie,195
__label__meta_minus_m,gości,195
__label__meta_minus_m,dobrze,193
__label__meta_minus_m,pobyt,193
__label__meta_minus_m,śniadania,191
__label__meta_minus_m,usg,189
__label__meta_minus_m,problem,188
__label__meta_minus_m,nikt,187
__label__meta_minus_m,oczywiście,186
__label__meta_minus_m,cały,185
__label__meta_minus_m,pacjenta,185
__label__meta_minus_m,czasu,185
__label__meta_minus_m,pobytu,185
__label__meta_minus_m,woda,184
__label__meta_minus_m,sam,183
__label__meta_minus_m,doktora,183
__label__meta_minus_m,miejsce,180
__label__meta_minus_m,dnia,180
__label__meta_minus_m,badanie,179
__label__meta_minus_m,samo,176
__label__meta_minus_m,leczenia,169
__label__meta_minus_m,juz,168
__label__meta_minus_m,brudne,168
__label__meta_minus_m,dopiero,166
__label__meta_minus_m,chodzi,165
__label__meta_minus_m,plus,163
__label__meta_minus_m,badań,162
__label__meta_minus_m,razy,160
__label__meta_minus_m,czym,157
__label__meta_minus_m,jedynie,157
__label__meta_minus_m,tyle,154
__label__meta_minus_m,miał,154
__label__meta_minus_m,miejscu,153
__label__meta_minus_m,ogólnie,152
__label__meta_minus_m,nocy,152
__label__meta_minus_m,pokojach,151
__label__meta_minus_m,wcześniej,151
__label__meta_minus_m,raczej,150
__label__meta_minus_m,szkoda,150
__label__meta_minus_m,ceny,149
__label__meta_minus_m,pierwszy,148
__label__meta_minus_m,wody,147
__label__meta_minus_m,bardziej,145
__label__meta_minus_m,mogę,145
__label__meta_minus_m,została,145
__label__meta_minus_m,dość,144
__label__meta_minus_m,leki,144
__label__meta_minus_m,dziecka,143
__label__meta_minus_m,stwierdził,142
__label__meta_minus_m,miejsca,141
__label__meta_minus_m,cena,141
__label__meta_minus_m,prostu,140
__label__meta_minus_m,osoby,140
__label__meta_minus_m,dwóch,140
__label__meta_minus_m,powiedział,140
__label__meta_minus_m,spa,139
__label__meta_minus_m,łazience,138
__label__meta_minus_m,miła,138
__label__meta_minus_m,pewno,137
__label__meta_minus_m,razem,137
__label__meta_minus_m,ciąży,136
__label__meta_minus_m,dobre,135
__label__meta_minus_m,naprawdę,134
__label__meta_minus_m,mojej,134
__label__meta_minus_m,lepiej,132
__label__meta_minus_m,prawie,132
__label__meta_minus_m,mieli,132
__label__meta_minus_m,łazienka,131
__label__meta_minus_m,np,130
__label__meta_minus_m,leczenie,130
__label__meta_minus_m,pieniądze,129
__label__meta_minus_m,basenie,129
__label__meta_minus_m,wszystkie,128
__label__meta_minus_m,działa,128
__label__meta_minus_m,mojego,127
__label__meta_minus_m,obsługi,127
__label__meta_minus_m,strony,126
__label__meta_minus_m,stanie,125
__label__meta_minus_m,trochę,123
__label__meta_minus_m,powinien,122
__label__meta_minus_m,widać,120
__label__meta_minus_m,gabinetu,120
__label__meta_minus_m,ogóle,120
__label__meta_minus_m,zbyt,120
__label__meta_minus_m,godziny,119
__label__meta_minus_m,drzwi,118
__label__meta_minus_m,czasie,118
__label__meta_minus_m,mały,117
__label__meta_minus_m,zero,117
__label__meta_minus_m,kilku,117
__label__meta_minus_m,pomimo,117
__label__meta_minus_m,razu,116
__label__meta_minus_m,przypadku,116
__label__meta_minus_m,mieć,115
__label__meta_minus_m,dodatkowo,114
__label__meta_minus_m,chciała,113
__label__meta_minus_m,osób,113
__label__meta_minus_m,jakości,113
__label__meta_minus_m,szybko,113
__label__meta_minus_m,drugi,111
__label__meta_minus_m,choć,110
__label__meta_minus_m,ludzi,110
__label__meta_minus_m,min,110
__label__meta_minus_m,koniec,109
__label__meta_minus_m,jednym,109
__label__meta_minus_m,jakieś,108
__label__meta_minus_m,p,108
__label__meta_minus_m,zrobić,108
__label__meta_minus_m,rano,108
__label__meta_minus_m,aż,107
__label__meta_minus_m,wiec,107
__label__meta_minus_m,zupełnie,107
__label__meta_minus_m,żadnych,106
__label__meta_minus_m,gwiazdki,106
__label__meta_minus_m,noc,106
__label__meta_minus_m,opinie,105
__label__meta_minus_m,niby,105
__label__meta_minus_m,codziennie,105
__label__meta_minus_m,chce,104
__label__meta_minus_m,innym,103
__label__meta_minus_m,stronie,103
__label__meta_minus_m,panie,103
__label__meta_minus_m,takim,103
__label__meta_minus_m,pokoi,103
__label__meta_minus_m,mamy,102
__label__meta_minus_m,dalej,102
__label__meta_minus_m,końcu,102
__label__meta_minus_m,bylo,102
__label__meta_minus_m,temat,102
__label__meta_minus_m,szpitalu,101
__label__meta_minus_m,potem,100
__label__meta_minus_m,stare,99
__label__meta_minus_m,pieniędzy,99
__label__meta_minus_m,każdym,99
__label__meta_minus_m,miałem,99
__label__meta_minus_m,zamiast,99
__label__meta_minus_m,telefon,99
__label__meta_minus_m,robi,98
__label__meta_minus_m,pracy,98
__label__meta_minus_m,powinna,98
__label__meta_minus_m,rezerwacji,97
__label__meta_minus_m,dostali,97
__label__meta_minus_m,restauracja,97
__label__meta_minus_m,dobry,96
__label__meta_minus_m,żadnego,96
__label__meta_minus_m,mocno,96
__label__meta_minus_m,lata,95
__label__meta_minus_m,łóżka,95
__label__meta_minus_m,panią,95
__label__meta_minus_m,początku,95
__label__meta_minus_m,wybór,95
__label__meta_minus_m,siebie,93
__label__meta_minus_m,powiedziała,93
__label__meta_minus_m,jedyny,93
__label__meta_minus_m,super,93
__label__meta_minus_m,da,93
__label__meta_minus_m,nikomu,92
__label__meta_minus_m,szpitala,91
__label__meta_minus_m,domu,91
__label__meta_minus_m,zapach,91
__label__meta_minus_m,został,91
__label__meta_minus_m,dostała,91
__label__meta_minus_m,problemy,91
__label__meta_minus_m,samym,90
__label__meta_minus_m,pytanie,90
__label__meta_minus_m,zawsze,89
__label__meta_minus_m,pierwsze,89
__label__meta_minus_m,standard,89
__label__meta_minus_m,wyniki,89
__label__meta_minus_m,moją,89
__label__meta_minus_m,czego,89
__label__meta_minus_m,takiego,89
__label__meta_minus_m,dniu,89
__label__meta_minus_m,muszę,88
__label__meta_minus_m,gabinecie,87
__label__meta_minus_m,wszystkim,87
__label__meta_minus_m,później,86
__label__meta_minus_m,zabieg,86
__label__meta_minus_m,ręczniki,86
__label__meta_minus_m,szczęście,86
__label__meta_minus_m,którą,86
__label__meta_minus_m,lekarzem,85
__label__meta_minus_m,mogła,85
__label__meta_minus_m,źle,85
__label__meta_minus_m,powodu,85
__label__meta_minus_m,jakość,84
__label__meta_minus_m,możliwości,84
__label__meta_minus_m,lekarzy,84
__label__meta_minus_m,małe,83
__label__meta_minus_m,musiała,83
__label__meta_minus_m,generalnie,83
__label__meta_minus_m,trafiła,83
